,cell_type,batch,condition,donor,n_counts
cell_02248,B_cell,batch_0,healthy,donor_3,1316
cell_02249,B_cell,batch_2,healthy,donor_1,1355
cell_02250,B_cell,batch_1,healthy,donor_0,1366
cell_02251,B_cell,batch_0,healthy,donor_5,1337
cell_02252,B_cell,batch_0,healthy,donor_4,1352
cell_02253,B_cell,batch_1,disease,donor_0,1388
cell_02254,B_cell,batch_0,disease,donor_5,1176
cell_02255,B_cell,batch_0,healthy,donor_5,1366
cell_02256,B_cell,batch_0,healthy,donor_1,1417
cell_02257,B_cell,batch_0,healthy,donor_3,1531
cell_02258,B_cell,batch_1,healthy,donor_0,1156
cell_02259,B_cell,batch_1,healthy,donor_2,1271
cell_02260,B_cell,batch_0,disease,donor_4,1141
cell_02261,B_cell,batch_0,healthy,donor_4,1072
cell_02262,B_cell,batch_0,healthy,donor_2,1274
cell_02263,B_cell,batch_2,healthy,donor_1,1320
cell_02264,B_cell,batch_2,disease,donor_2,1248
cell_02265,B_cell,batch_2,healthy,donor_0,1152
cell_02266,B_cell,batch_0,disease,donor_2,1313
cell_02267,B_cell,batch_1,healthy,donor_3,1250
cell_02268,B_cell,batch_2,healthy,donor_3,1315
cell_02269,B_cell,batch_1,healthy,donor_5,1512
cell_02270,B_cell,batch_2,disease,donor_1,1291
cell_02271,B_cell,batch_0,healthy,donor_2,1192
cell_02272,B_cell,batch_1,disease,donor_0,1279
cell_02273,B_cell,batch_2,disease,donor_0,1320
cell_02274,B_cell,batch_1,healthy,donor_1,1316
cell_02275,B_cell,batch_2,healthy,donor_4,1368
cell_02276,B_cell,batch_2,disease,donor_2,1459
cell_02277,B_cell,batch_0,healthy,donor_2,1300
cell_02278,B_cell,batch_1,disease,donor_2,1367
cell_02279,B_cell,batch_1,disease,donor_3,1262
cell_02280,B_cell,batch_0,disease,donor_0,1254
cell_02281,B_cell,batch_1,healthy,donor_2,1433
cell_02282,B_cell,batch_0,healthy,donor_0,1280
cell_02283,B_cell,batch_0,healthy,donor_4,1289
cell_02284,B_cell,batch_0,healthy,donor_0,1461
cell_02285,B_cell,batch_2,healthy,donor_2,1189
cell_02286,B_cell,batch_2,healthy,donor_3,1108
cell_02287,B_cell,batch_1,disease,donor_5,1479
cell_02288,B_cell,batch_2,healthy,donor_1,1390
cell_02289,B_cell,batch_1,healthy,donor_5,1375
cell_02290,B_cell,batch_0,disease,donor_5,1330
cell_02291,B_cell,batch_0,disease,donor_3,1270
cell_02292,B_cell,batch_1,healthy,donor_3,1277
cell_02293,B_cell,batch_2,healthy,donor_5,1159
cell_02294,B_cell,batch_2,disease,donor_3,1400
cell_02295,B_cell,batch_1,disease,donor_2,1402
cell_02296,B_cell,batch_2,healthy,donor_5,1275
cell_02297,B_cell,batch_0,healthy,donor_2,1299
cell_02298,B_cell,batch_1,healthy,donor_2,1315
cell_02299,B_cell,batch_0,disease,donor_5,1200
cell_02300,B_cell,batch_2,disease,donor_1,1389
cell_02301,B_cell,batch_2,healthy,donor_0,1370
cell_02302,B_cell,batch_0,disease,donor_4,1227
cell_02303,B_cell,batch_1,healthy,donor_3,1316
cell_02304,B_cell,batch_0,disease,donor_3,1200
cell_02305,B_cell,batch_0,healthy,donor_4,1080
cell_02306,B_cell,batch_0,disease,donor_0,1357
cell_02307,B_cell,batch_0,disease,donor_5,1420
cell_02308,B_cell,batch_1,healthy,donor_4,1297
cell_02309,B_cell,batch_1,disease,donor_4,1223
cell_02310,B_cell,batch_1,healthy,donor_5,1369
cell_02311,B_cell,batch_2,disease,donor_5,1332
cell_02312,B_cell,batch_2,disease,donor_3,1326
cell_02313,B_cell,batch_0,healthy,donor_5,1402
cell_02314,B_cell,batch_1,disease,donor_2,1428
cell_02315,B_cell,batch_1,healthy,donor_2,1375
cell_02316,B_cell,batch_1,healthy,donor_3,1579
cell_02317,B_cell,batch_1,healthy,donor_4,1408
cell_02318,B_cell,batch_1,disease,donor_5,1224
cell_02319,B_cell,batch_0,disease,donor_0,1172
cell_02320,B_cell,batch_0,healthy,donor_1,1348
cell_02321,B_cell,batch_1,healthy,donor_5,1505
cell_02322,B_cell,batch_0,healthy,donor_3,1359
cell_02323,B_cell,batch_1,healthy,donor_4,1263
cell_02324,B_cell,batch_2,disease,donor_5,1167
cell_02325,B_cell,batch_0,disease,donor_3,1326
cell_02326,B_cell,batch_2,healthy,donor_5,1328
cell_02327,B_cell,batch_1,healthy,donor_2,1461
cell_02328,B_cell,batch_0,healthy,donor_3,1182
cell_02329,B_cell,batch_0,healthy,donor_5,1341
cell_02330,B_cell,batch_2,healthy,donor_2,1235
cell_02331,B_cell,batch_1,healthy,donor_2,1370
cell_02332,B_cell,batch_1,disease,donor_3,1142
cell_02333,B_cell,batch_2,healthy,donor_1,1238
cell_02334,B_cell,batch_0,healthy,donor_1,1403
cell_02335,B_cell,batch_1,healthy,donor_1,1226
cell_02336,B_cell,batch_2,healthy,donor_1,1373
cell_02337,B_cell,batch_0,disease,donor_2,1393
cell_02338,B_cell,batch_0,disease,donor_2,1265
cell_02339,B_cell,batch_1,disease,donor_1,1383
cell_02340,B_cell,batch_0,disease,donor_2,1218
cell_02341,B_cell,batch_0,disease,donor_2,1227
cell_02342,B_cell,batch_0,healthy,donor_2,1543
cell_02343,B_cell,batch_2,healthy,donor_1,1232
cell_02344,B_cell,batch_1,healthy,donor_3,1441
cell_02345,B_cell,batch_0,healthy,donor_0,1303
cell_02346,B_cell,batch_2,disease,donor_2,1454
cell_02347,B_cell,batch_1,healthy,donor_5,1393
cell_02348,B_cell,batch_1,disease,donor_1,1314
cell_02349,B_cell,batch_1,disease,donor_0,1327
cell_02350,B_cell,batch_1,disease,donor_3,1511
cell_02351,B_cell,batch_1,healthy,donor_2,1258
cell_02352,B_cell,batch_0,healthy,donor_1,1308
cell_02353,B_cell,batch_1,healthy,donor_0,1431
cell_02354,B_cell,batch_0,healthy,donor_1,1412
cell_02355,B_cell,batch_0,disease,donor_3,1267
cell_02356,B_cell,batch_0,disease,donor_0,1236
cell_02357,B_cell,batch_2,disease,donor_3,1304
cell_02358,B_cell,batch_0,disease,donor_5,1393
cell_02359,B_cell,batch_0,disease,donor_1,1376
cell_02360,B_cell,batch_1,disease,donor_1,1241
cell_02361,B_cell,batch_1,healthy,donor_2,1336
cell_02362,B_cell,batch_2,disease,donor_4,1425
cell_02363,B_cell,batch_1,healthy,donor_4,1353
cell_02364,B_cell,batch_0,healthy,donor_1,1255
cell_02365,B_cell,batch_2,disease,donor_4,1229
cell_02366,B_cell,batch_0,healthy,donor_2,1373
cell_02367,B_cell,batch_2,healthy,donor_5,1306
cell_02368,B_cell,batch_0,disease,donor_0,1340
cell_02369,B_cell,batch_1,healthy,donor_5,1415
cell_02370,B_cell,batch_2,healthy,donor_5,1275
cell_02371,B_cell,batch_1,disease,donor_5,1374
cell_02372,B_cell,batch_0,disease,donor_1,1347
cell_02373,B_cell,batch_0,disease,donor_5,1090
cell_02374,B_cell,batch_0,disease,donor_3,1290
cell_02375,B_cell,batch_0,healthy,donor_5,1337
cell_02376,B_cell,batch_1,healthy,donor_0,1190
cell_02377,B_cell,batch_0,disease,donor_3,1114
cell_02378,B_cell,batch_0,disease,donor_2,1166
cell_02379,B_cell,batch_0,disease,donor_4,1310
cell_02380,B_cell,batch_2,healthy,donor_1,1357
cell_02381,B_cell,batch_0,disease,donor_4,1373
cell_02382,B_cell,batch_0,disease,donor_2,1251
cell_02383,B_cell,batch_2,healthy,donor_2,1322
cell_02384,B_cell,batch_1,disease,donor_3,1330
cell_02385,B_cell,batch_1,disease,donor_3,1182
cell_02386,B_cell,batch_1,disease,donor_1,1290
cell_02387,B_cell,batch_1,disease,donor_1,1315
cell_02388,B_cell,batch_2,disease,donor_5,1149
cell_02389,B_cell,batch_1,healthy,donor_3,1260
cell_02390,B_cell,batch_2,healthy,donor_2,1388
cell_02391,B_cell,batch_0,disease,donor_5,1555
cell_02392,B_cell,batch_1,healthy,donor_2,1270
cell_02393,B_cell,batch_0,healthy,donor_3,1242
cell_02394,B_cell,batch_1,healthy,donor_1,1395
cell_02395,B_cell,batch_0,healthy,donor_5,1439
cell_02396,B_cell,batch_2,healthy,donor_4,1260
cell_02397,B_cell,batch_0,healthy,donor_5,1308
cell_02398,B_cell,batch_1,disease,donor_3,1240
cell_02399,B_cell,batch_2,disease,donor_0,1395
cell_02400,B_cell,batch_0,healthy,donor_4,1193
cell_02401,B_cell,batch_2,healthy,donor_5,1195
cell_02402,B_cell,batch_2,disease,donor_0,1273
cell_02403,B_cell,batch_2,healthy,donor_2,1384
cell_02404,B_cell,batch_2,healthy,donor_4,1119
cell_02405,B_cell,batch_2,healthy,donor_3,1335
cell_02406,B_cell,batch_1,healthy,donor_4,1197
cell_02407,B_cell,batch_1,healthy,donor_4,1348
cell_02408,B_cell,batch_2,healthy,donor_5,1513
cell_02409,B_cell,batch_1,disease,donor_3,1262
cell_02410,B_cell,batch_2,healthy,donor_2,1223
cell_02411,B_cell,batch_2,healthy,donor_3,1214
cell_02412,B_cell,batch_1,healthy,donor_0,1254
cell_02413,B_cell,batch_1,disease,donor_2,1425
cell_02414,B_cell,batch_0,healthy,donor_0,1308
cell_02415,B_cell,batch_2,healthy,donor_3,1449
cell_02416,B_cell,batch_1,healthy,donor_4,1364
cell_02417,B_cell,batch_2,disease,donor_1,1233
cell_02418,B_cell,batch_0,healthy,donor_3,1334
cell_02419,B_cell,batch_2,healthy,donor_2,1192
cell_02420,B_cell,batch_0,disease,donor_5,1241
cell_02421,B_cell,batch_0,disease,donor_1,1341
cell_02422,B_cell,batch_1,disease,donor_2,1583
cell_02423,B_cell,batch_1,healthy,donor_0,1414
cell_02424,B_cell,batch_2,disease,donor_5,1342
cell_02425,B_cell,batch_2,disease,donor_4,1272
cell_02426,B_cell,batch_2,disease,donor_3,1269
cell_02427,B_cell,batch_2,disease,donor_5,1205
cell_02428,B_cell,batch_2,healthy,donor_4,1423
cell_02429,B_cell,batch_2,healthy,donor_2,1304
cell_02430,B_cell,batch_2,disease,donor_1,1330
cell_02431,B_cell,batch_0,disease,donor_4,1334
cell_02432,B_cell,batch_0,disease,donor_5,1421
cell_02433,B_cell,batch_1,disease,donor_0,1376
cell_02434,B_cell,batch_2,healthy,donor_5,1149
cell_02435,B_cell,batch_1,healthy,donor_1,1230
cell_02436,B_cell,batch_1,healthy,donor_4,1362
cell_02437,B_cell,batch_2,healthy,donor_0,1366
cell_02438,B_cell,batch_2,healthy,donor_1,1313
cell_02439,B_cell,batch_2,disease,donor_1,1213
cell_02440,B_cell,batch_2,healthy,donor_2,1400
cell_02441,B_cell,batch_0,disease,donor_1,1217
cell_02442,B_cell,batch_1,healthy,donor_3,1443
cell_02443,B_cell,batch_1,disease,donor_0,1238
cell_02444,B_cell,batch_2,healthy,donor_3,1125
cell_02445,B_cell,batch_0,healthy,donor_3,1392
cell_02446,B_cell,batch_1,healthy,donor_3,1431
cell_02447,B_cell,batch_0,disease,donor_2,1253
cell_02448,B_cell,batch_0,healthy,donor_2,1308
cell_02449,B_cell,batch_2,disease,donor_3,1404
cell_02450,B_cell,batch_2,healthy,donor_4,1354
cell_02451,B_cell,batch_0,healthy,donor_5,1368
cell_02452,B_cell,batch_1,disease,donor_5,1214
cell_02453,B_cell,batch_1,healthy,donor_2,1236
cell_02454,B_cell,batch_1,healthy,donor_3,1198
cell_02455,B_cell,batch_1,healthy,donor_5,1536
cell_02456,B_cell,batch_0,disease,donor_3,1380
cell_02457,B_cell,batch_0,disease,donor_3,1295
cell_02458,B_cell,batch_1,disease,donor_0,1355
cell_02459,B_cell,batch_1,healthy,donor_3,1291
cell_02460,B_cell,batch_2,healthy,donor_2,1423
cell_02461,B_cell,batch_2,disease,donor_0,1409
cell_02462,B_cell,batch_0,healthy,donor_5,1157
cell_02463,B_cell,batch_1,disease,donor_1,1442
cell_02464,B_cell,batch_0,disease,donor_4,1281
cell_02465,B_cell,batch_0,disease,donor_5,1466
cell_02466,B_cell,batch_0,disease,donor_3,1169
cell_02467,B_cell,batch_2,healthy,donor_2,1455
cell_02468,B_cell,batch_0,healthy,donor_0,1292
cell_02469,B_cell,batch_1,healthy,donor_3,1285
cell_02470,B_cell,batch_1,healthy,donor_0,1305
cell_02471,B_cell,batch_1,disease,donor_3,1070
cell_02472,B_cell,batch_2,healthy,donor_2,1207
cell_02473,B_cell,batch_2,healthy,donor_5,1291
cell_02474,B_cell,batch_0,disease,donor_2,1264
cell_02475,B_cell,batch_0,healthy,donor_5,1303
cell_02476,B_cell,batch_2,disease,donor_2,1423
cell_02477,B_cell,batch_1,healthy,donor_5,1558
cell_02478,B_cell,batch_0,disease,donor_4,1214
cell_02479,B_cell,batch_2,healthy,donor_0,1377
cell_02480,B_cell,batch_2,disease,donor_4,1425
cell_02481,B_cell,batch_1,disease,donor_5,1352
cell_02482,B_cell,batch_2,disease,donor_0,1529
cell_02483,B_cell,batch_2,healthy,donor_1,1414
cell_02484,B_cell,batch_0,healthy,donor_3,1053
cell_02485,B_cell,batch_0,healthy,donor_4,1375
cell_02486,B_cell,batch_1,healthy,donor_1,1238
cell_02487,B_cell,batch_2,healthy,donor_1,1354
cell_02488,B_cell,batch_2,healthy,donor_2,1304
cell_02489,B_cell,batch_0,healthy,donor_1,1279
cell_02490,B_cell,batch_1,healthy,donor_4,1398
cell_02491,B_cell,batch_2,healthy,donor_1,1247
cell_02492,B_cell,batch_2,healthy,donor_1,1237
cell_02493,B_cell,batch_2,disease,donor_2,1412
cell_02494,B_cell,batch_1,healthy,donor_4,1429
cell_02495,B_cell,batch_0,healthy,donor_5,1468
cell_02496,B_cell,batch_1,healthy,donor_2,1383
cell_02497,B_cell,batch_0,healthy,donor_5,1294
cell_02498,B_cell,batch_0,healthy,donor_5,1228
cell_02499,B_cell,batch_1,healthy,donor_4,1396
cell_02500,Monocyte,batch_1,disease,donor_0,1389
cell_02501,Monocyte,batch_0,healthy,donor_2,1470
cell_02502,Monocyte,batch_0,healthy,donor_2,1343
cell_02503,Monocyte,batch_2,disease,donor_1,1320
cell_02504,Monocyte,batch_2,disease,donor_5,1540
cell_02505,Monocyte,batch_0,healthy,donor_0,1288
cell_02506,Monocyte,batch_1,healthy,donor_2,1216
cell_02507,Monocyte,batch_0,healthy,donor_0,1339
cell_02508,Monocyte,batch_1,healthy,donor_2,1288
cell_02509,Monocyte,batch_2,healthy,donor_0,1421
cell_02510,Monocyte,batch_1,disease,donor_3,1288
cell_02511,Monocyte,batch_1,healthy,donor_0,1269
cell_02512,Monocyte,batch_1,disease,donor_4,1482
cell_02513,Monocyte,batch_0,disease,donor_5,1358
cell_02514,Monocyte,batch_0,disease,donor_0,1314
cell_02515,Monocyte,batch_2,healthy,donor_5,1424
cell_02516,Monocyte,batch_2,healthy,donor_2,1313
cell_02517,Monocyte,batch_1,healthy,donor_0,1301
cell_02518,Monocyte,batch_0,disease,donor_3,1322
cell_02519,Monocyte,batch_1,disease,donor_2,1406
cell_02520,Monocyte,batch_1,healthy,donor_1,1329
cell_02521,Monocyte,batch_1,healthy,donor_3,1549
cell_02522,Monocyte,batch_0,disease,donor_0,1256
cell_02523,Monocyte,batch_0,disease,donor_5,1425
cell_02524,Monocyte,batch_1,disease,donor_1,1373
cell_02525,Monocyte,batch_2,healthy,donor_3,1310
cell_02526,Monocyte,batch_2,disease,donor_3,1254
cell_02527,Monocyte,batch_2,healthy,donor_5,1410
cell_02528,Monocyte,batch_2,healthy,donor_4,1323
cell_02529,Monocyte,batch_1,healthy,donor_2,1408
cell_02530,Monocyte,batch_2,healthy,donor_5,1559
cell_02531,Monocyte,batch_2,healthy,donor_5,1237
cell_02532,Monocyte,batch_0,healthy,donor_2,1614
cell_02533,Monocyte,batch_2,disease,donor_5,1243
cell_02534,Monocyte,batch_2,healthy,donor_1,1380
cell_02535,Monocyte,batch_2,disease,donor_3,1092
cell_02536,Monocyte,batch_1,healthy,donor_1,1274
cell_02537,Monocyte,batch_2,healthy,donor_5,1233
cell_02538,Monocyte,batch_2,disease,donor_0,1503
cell_02539,Monocyte,batch_0,disease,donor_0,1159
cell_02540,Monocyte,batch_2,healthy,donor_0,1419
cell_02541,Monocyte,batch_0,disease,donor_4,1533
cell_02542,Monocyte,batch_1,healthy,donor_5,1220
cell_02543,Monocyte,batch_2,disease,donor_5,1357
cell_02544,Monocyte,batch_0,healthy,donor_3,1428
cell_02545,Monocyte,batch_1,disease,donor_5,1307
cell_02546,Monocyte,batch_1,disease,donor_1,1399
cell_02547,Monocyte,batch_1,disease,donor_5,1352
cell_02548,Monocyte,batch_1,disease,donor_5,1193
cell_02549,Monocyte,batch_1,healthy,donor_4,1353
cell_02550,Monocyte,batch_1,disease,donor_2,1343
cell_02551,Monocyte,batch_2,healthy,donor_5,1293
cell_02552,Monocyte,batch_1,disease,donor_2,1203
cell_02553,Monocyte,batch_2,disease,donor_0,1428
cell_02554,Monocyte,batch_0,disease,donor_1,1358
cell_02555,Monocyte,batch_0,healthy,donor_2,1364
cell_02556,Monocyte,batch_2,disease,donor_4,1331
cell_02557,Monocyte,batch_2,disease,donor_5,1224
cell_02558,Monocyte,batch_1,disease,donor_0,1177
cell_02559,Monocyte,batch_0,disease,donor_0,1187
cell_02560,Monocyte,batch_1,healthy,donor_1,1223
cell_02561,Monocyte,batch_0,healthy,donor_5,1416
cell_02562,Monocyte,batch_2,healthy,donor_2,1388
cell_02563,Monocyte,batch_2,healthy,donor_3,1359
cell_02564,Monocyte,batch_2,healthy,donor_5,1465
cell_02565,Monocyte,batch_1,healthy,donor_1,1275
cell_02566,Monocyte,batch_2,disease,donor_5,1364
cell_02567,Monocyte,batch_2,healthy,donor_2,1264
cell_02568,Monocyte,batch_2,healthy,donor_1,1300
cell_02569,Monocyte,batch_2,healthy,donor_4,1333
cell_02570,Monocyte,batch_1,healthy,donor_2,1185
cell_02571,Monocyte,batch_2,healthy,donor_1,1325
cell_02572,Monocyte,batch_1,healthy,donor_3,1342
cell_02573,Monocyte,batch_1,disease,donor_1,1204
cell_02574,Monocyte,batch_0,healthy,donor_4,1235
cell_02575,Monocyte,batch_2,healthy,donor_5,1333
cell_02576,Monocyte,batch_0,disease,donor_0,1239
cell_02577,Monocyte,batch_2,healthy,donor_2,1438
cell_02578,Monocyte,batch_0,disease,donor_2,1388
cell_02579,Monocyte,batch_2,healthy,donor_1,1329
cell_02580,Monocyte,batch_1,disease,donor_5,1298
cell_02581,Monocyte,batch_1,disease,donor_1,1290
cell_02582,Monocyte,batch_2,healthy,donor_3,1118
cell_02583,Monocyte,batch_0,disease,donor_4,1414
cell_02584,Monocyte,batch_0,healthy,donor_0,1253
cell_02585,Monocyte,batch_2,healthy,donor_2,1486
cell_02586,Monocyte,batch_0,healthy,donor_5,1292
cell_02587,Monocyte,batch_1,disease,donor_2,1321
cell_02588,Monocyte,batch_2,healthy,donor_3,1188
cell_02589,Monocyte,batch_0,healthy,donor_4,1283
cell_02590,Monocyte,batch_1,disease,donor_0,1188
cell_02591,Monocyte,batch_1,disease,donor_1,1321
cell_02592,Monocyte,batch_0,disease,donor_3,1351
cell_02593,Monocyte,batch_0,healthy,donor_3,1248
cell_02594,Monocyte,batch_0,healthy,donor_5,1300
cell_02595,Monocyte,batch_0,healthy,donor_0,1343
cell_02596,Monocyte,batch_0,healthy,donor_3,1109
cell_02597,Monocyte,batch_1,healthy,donor_1,1376
cell_02598,Monocyte,batch_0,healthy,donor_5,1291
cell_02599,Monocyte,batch_1,healthy,donor_1,1301
cell_02600,Monocyte,batch_1,healthy,donor_0,1357
cell_02601,Monocyte,batch_0,disease,donor_5,1326
cell_02602,Monocyte,batch_1,disease,donor_0,1287
cell_02603,Monocyte,batch_2,disease,donor_5,1419
cell_02604,Monocyte,batch_0,healthy,donor_2,1387
cell_02605,Monocyte,batch_0,healthy,donor_1,1257
cell_02606,Monocyte,batch_1,healthy,donor_3,1375
cell_02607,Monocyte,batch_1,disease,donor_1,1217
cell_02608,Monocyte,batch_2,healthy,donor_0,1267
cell_02609,Monocyte,batch_2,healthy,donor_0,1351
cell_02610,Monocyte,batch_2,healthy,donor_3,1261
cell_02611,Monocyte,batch_2,healthy,donor_4,1417
cell_02612,Monocyte,batch_0,disease,donor_5,1315
cell_02613,Monocyte,batch_1,disease,donor_2,1380
cell_02614,Monocyte,batch_2,healthy,donor_0,1343
cell_02615,Monocyte,batch_0,healthy,donor_4,1151
cell_02616,Monocyte,batch_1,healthy,donor_2,1484
cell_02617,Monocyte,batch_2,disease,donor_4,1190
cell_02618,Monocyte,batch_0,healthy,donor_4,1314
cell_02619,Monocyte,batch_2,healthy,donor_0,1268
cell_02620,Monocyte,batch_0,healthy,donor_0,1531
cell_02621,Monocyte,batch_1,disease,donor_1,1333
cell_02622,Monocyte,batch_2,healthy,donor_1,1386
cell_02623,Monocyte,batch_1,healthy,donor_5,1352
cell_02624,Monocyte,batch_0,disease,donor_0,1146
cell_02625,Monocyte,batch_1,disease,donor_5,1320
cell_02626,Monocyte,batch_1,healthy,donor_4,1292
cell_02627,Monocyte,batch_0,disease,donor_1,1213
cell_02628,Monocyte,batch_0,healthy,donor_0,1327
cell_02629,Monocyte,batch_1,healthy,donor_0,1289
cell_02630,Monocyte,batch_0,healthy,donor_3,1237
cell_02631,Monocyte,batch_2,disease,donor_2,1401
cell_02632,Monocyte,batch_2,healthy,donor_5,1350
cell_02633,Monocyte,batch_0,disease,donor_2,1278
cell_02634,Monocyte,batch_0,healthy,donor_3,1123
cell_02635,Monocyte,batch_1,healthy,donor_2,1157
cell_02636,Monocyte,batch_2,disease,donor_3,1298
cell_02637,Monocyte,batch_2,healthy,donor_5,1103
cell_02638,Monocyte,batch_0,healthy,donor_4,1209
cell_02639,Monocyte,batch_2,healthy,donor_4,1259
cell_02640,Monocyte,batch_0,disease,donor_4,1213
cell_02641,Monocyte,batch_2,healthy,donor_0,1459
cell_02642,Monocyte,batch_0,disease,donor_1,1256
cell_02643,Monocyte,batch_2,disease,donor_3,1545
cell_02644,Monocyte,batch_0,disease,donor_1,1320
cell_02645,Monocyte,batch_0,healthy,donor_3,1410
cell_02646,Monocyte,batch_0,healthy,donor_5,1208
cell_02647,Monocyte,batch_2,healthy,donor_0,1420
cell_02648,Monocyte,batch_0,healthy,donor_5,1288
cell_02649,Monocyte,batch_0,healthy,donor_5,1374
cell_02650,Monocyte,batch_1,healthy,donor_5,1285
cell_02651,Monocyte,batch_1,healthy,donor_2,1367
cell_02652,Monocyte,batch_0,healthy,donor_1,1420
cell_02653,Monocyte,batch_0,disease,donor_2,1328
cell_02654,Monocyte,batch_1,healthy,donor_5,1288
cell_02655,Monocyte,batch_1,disease,donor_4,1460
cell_02656,Monocyte,batch_2,healthy,donor_1,1345
cell_02657,Monocyte,batch_0,healthy,donor_5,1303
cell_02658,Monocyte,batch_2,healthy,donor_5,1288
cell_02659,Monocyte,batch_1,healthy,donor_4,1297
cell_02660,Monocyte,batch_0,healthy,donor_1,1349
cell_02661,Monocyte,batch_2,healthy,donor_2,1273
cell_02662,Monocyte,batch_1,healthy,donor_4,1372
cell_02663,Monocyte,batch_2,healthy,donor_2,1210
cell_02664,Monocyte,batch_0,healthy,donor_1,1508
cell_02665,Monocyte,batch_2,disease,donor_1,1243
cell_02666,Monocyte,batch_1,disease,donor_1,1341
cell_02667,Monocyte,batch_0,healthy,donor_5,1424
cell_02668,Monocyte,batch_0,healthy,donor_2,1211
cell_02669,Monocyte,batch_0,disease,donor_4,1262
cell_02670,Monocyte,batch_0,disease,donor_5,1363
cell_02671,Monocyte,batch_0,disease,donor_1,1254
cell_02672,Monocyte,batch_0,healthy,donor_3,1380
cell_02673,Monocyte,batch_2,healthy,donor_3,1226
cell_02674,Monocyte,batch_2,disease,donor_3,1306
cell_02675,Monocyte,batch_2,healthy,donor_1,1463
cell_02676,Monocyte,batch_2,disease,donor_4,1310
cell_02677,Monocyte,batch_1,healthy,donor_4,1268
cell_02678,Monocyte,batch_0,healthy,donor_4,1211
cell_02679,Monocyte,batch_0,healthy,donor_0,1261
cell_02680,Monocyte,batch_1,healthy,donor_4,1290
cell_02681,Monocyte,batch_1,disease,donor_2,1283
cell_02682,Monocyte,batch_0,disease,donor_4,1455
cell_02683,Monocyte,batch_1,healthy,donor_3,1343
cell_02684,Monocyte,batch_2,disease,donor_4,1278
cell_02685,Monocyte,batch_2,healthy,donor_2,1277
cell_02686,Monocyte,batch_0,disease,donor_3,1265
cell_02687,Monocyte,batch_0,healthy,donor_1,1199
cell_02688,Monocyte,batch_2,disease,donor_3,1338
cell_02689,Monocyte,batch_0,disease,donor_1,1311
cell_02690,Monocyte,batch_1,healthy,donor_0,1432
cell_02691,Monocyte,batch_1,healthy,donor_3,1331
cell_02692,Monocyte,batch_1,healthy,donor_5,1067
cell_02693,Monocyte,batch_2,healthy,donor_2,1225
cell_02694,Monocyte,batch_2,healthy,donor_0,1248
cell_02695,Monocyte,batch_1,healthy,donor_0,1282
cell_02696,Monocyte,batch_0,healthy,donor_4,1359
cell_02697,Monocyte,batch_1,healthy,donor_1,1488
cell_02698,Monocyte,batch_1,healthy,donor_1,1399
cell_02699,Monocyte,batch_0,disease,donor_2,1476
cell_02700,Monocyte,batch_1,disease,donor_3,1323
cell_02701,Monocyte,batch_0,healthy,donor_0,1281
cell_02702,Monocyte,batch_1,disease,donor_1,1266
cell_02703,Monocyte,batch_1,disease,donor_4,1504
cell_02704,Monocyte,batch_2,disease,donor_2,1324
cell_02705,Monocyte,batch_2,healthy,donor_4,1278
cell_02706,Monocyte,batch_0,healthy,donor_2,1186
cell_02707,Monocyte,batch_2,disease,donor_3,1241
cell_02708,Monocyte,batch_2,disease,donor_0,1344
cell_02709,Monocyte,batch_1,disease,donor_4,1419
cell_02710,Monocyte,batch_2,healthy,donor_4,1285
cell_02711,Monocyte,batch_1,healthy,donor_1,1226
cell_02712,Monocyte,batch_1,healthy,donor_1,1290
cell_02713,Monocyte,batch_0,healthy,donor_3,1331
cell_02714,Monocyte,batch_0,healthy,donor_5,1336
cell_02715,Monocyte,batch_0,disease,donor_1,1413
cell_02716,Monocyte,batch_0,healthy,donor_2,1223
cell_02717,Monocyte,batch_2,disease,donor_5,1509
cell_02718,Monocyte,batch_1,healthy,donor_5,1299
cell_02719,Monocyte,batch_1,disease,donor_1,1276
cell_02720,Monocyte,batch_1,disease,donor_4,1332
cell_02721,Monocyte,batch_2,healthy,donor_2,1291
cell_02722,Monocyte,batch_2,healthy,donor_1,1319
cell_02723,Monocyte,batch_0,healthy,donor_5,1259
cell_02724,Monocyte,batch_0,disease,donor_3,1234
cell_02725,Monocyte,batch_1,disease,donor_5,1379
cell_02726,Monocyte,batch_1,disease,donor_5,1276
cell_02727,Monocyte,batch_0,healthy,donor_1,1452
cell_02728,Monocyte,batch_1,disease,donor_0,1313
cell_02729,Monocyte,batch_2,healthy,donor_1,1224
cell_02730,Monocyte,batch_1,disease,donor_1,1257
cell_02731,Monocyte,batch_2,healthy,donor_3,1313
cell_02732,Monocyte,batch_1,disease,donor_0,1288
cell_02733,Monocyte,batch_2,healthy,donor_5,1379
cell_02734,Monocyte,batch_1,disease,donor_4,1275
cell_02735,Monocyte,batch_0,disease,donor_5,1218
cell_02736,Monocyte,batch_0,healthy,donor_0,1262
cell_02737,Monocyte,batch_0,healthy,donor_1,1290
cell_02738,Monocyte,batch_2,disease,donor_2,1203
cell_02739,Monocyte,batch_2,disease,donor_3,1447
cell_02740,Monocyte,batch_1,disease,donor_3,1405
cell_02741,Monocyte,batch_2,healthy,donor_4,1279
cell_02742,Monocyte,batch_1,disease,donor_4,1263
cell_02743,Monocyte,batch_0,disease,donor_3,1489
cell_02744,Monocyte,batch_0,healthy,donor_0,1326
